Client,Company Code,Accounting Document Number,Fiscal Year,Document Type,Document Date in Document,Month,Posting Date in the Document,Day On Which Accounting Document Was Entered,Invoice Document Number,Fiscal Year of Invoice,Date of the Last Document Change by Transaction,Reference Document Number,Accounting Document Key
100,CompanyCode1,1000000131,2022,Documenttype1,2022-02-15,3,2022-03-08,2022-03-08,1000073916,2022,,65202,10000739162022
100,CompanyCode1,1000000132,2022,Documenttype1,2022-02-24,3,2022-03-08,2022-03-08,1000073918,2022,,60050340,10000739182022
100,CompanyCode1,1000000133,2022,Documenttype1,2022-02-28,3,2022-03-08,2022-03-08,1000073919,2022,,54976,10000739192022
100,CompanyCode1,1000000134,2022,Documenttype1,2022-02-28,3,2022-03-08,2022-03-08,1000073920,2022,,54975,10000739202022
100,CompanyCode1,1000000135,2022,Documenttype1,2022-02-28,3,2022-03-08,2022-03-08,1000073921,2022,,54972,10000739212022
100,CompanyCode1,1000000136,2022,Documenttype1,2022-02-28,3,2022-03-08,2022-03-08,1000073922,2022,,54971,10000739222022
100,CompanyCode1,1000000137,2022,Documenttype1,2022-02-28,3,2022-03-08,2022-03-08,1000073923,2022,,54970,10000739232022
100,CompanyCode1,1000000138,2022,Documenttype1,2022-02-28,3,2022-03-08,2022-03-08,1000073942,2022,,74755,10000739422022
100,CompanyCode1,1000000139,2022,Documenttype1,2022-03-03,3,2022-03-08,2022-03-08,1000073944,2022,,INV122149,10000739442022
100,CompanyCode1,1000000140,2022,Documenttype1,2022-03-03,3,2022-03-08,2022-03-08,1000073945,2022,,INV122154,10000739452022
100,CompanyCode1,1000000141,2022,Documenttype1,2022-02-28,3,2022-03-08,2022-03-08,1000054048,2022,,S109879,10000540482022
100,CompanyCode1,1000000142,2022,Documenttype1,2022-02-28,3,2022-03-08,2022-03-08,1000054050,2022,,BY3598DA,10000540502022
100,CompanyCode1,1000000143,2022,Documenttype1,2022-02-28,3,2022-03-09,2022-03-09,1000074162,2022,,1122375,10000741622022
100,CompanyCode1,1000000144,2022,Documenttype1,2022-02-28,3,2022-03-09,2022-03-09,1000074183,2022,,9274048,10000741832022
100,CompanyCode1,1000000145,2022,Documenttype1,2022-02-17,3,2022-03-09,2022-03-09,1000074186,2022,,1122305,10000741862022
100,CompanyCode1,1000000146,2022,Documenttype1,2022-02-21,3,2022-03-09,2022-03-09,1000074194,2022,,408139,10000741942022
100,CompanyCode1,1000000147,2022,Documenttype1,2022-01-28,3,2022-03-09,2022-03-09,1000054325,2022,,TM220202,10000543252022
100,CompanyCode1,1000000148,2022,Documenttype1,2022-03-04,3,2022-03-09,2022-03-09,1000054345,2022,,00676512,10000543452022
100,CompanyCode1,1000000149,2022,Documenttype1,2022-03-04,3,2022-03-09,2022-03-09,1000054346,2022,,00676513,10000543462022
100,CompanyCode1,1000000150,2022,Documenttype1,2022-03-04,3,2022-03-09,2022-03-09,1000054348,2022,,00676514,10000543482022
100,CompanyCode1,1000000151,2022,Documenttype1,2022-01-28,3,2022-03-10,2022-03-10,1000074256,2022,2022-07-28,70399537,10000742562022
100,CompanyCode1,1000000152,2022,Documenttype1,2022-02-01,3,2022-03-10,2022-03-10,1000074257,2022,,70400334,10000742572022
100,CompanyCode1,1000000153,2022,Documenttype1,2022-02-01,3,2022-03-10,2022-03-10,1000074258,2022,,70400128,10000742582022
100,CompanyCode1,1000000154,2022,Documenttype1,2022-02-11,3,2022-03-10,2022-03-10,1000074259,2022,,70401253,10000742592022
100,CompanyCode1,1000000155,2022,Documenttype1,2022-02-11,3,2022-03-10,2022-03-10,1000074260,2022,,70401250,10000742602022
100,CompanyCode1,1000000156,2022,Documenttype1,2022-02-17,3,2022-03-10,2022-03-10,1000074261,2022,,S109386,10000742612022
100,CompanyCode1,1000000157,2022,Documenttype1,2022-02-25,3,2022-03-10,2022-03-10,1000074269,2022,,21163780,10000742692022
100,CompanyCode1,1000000158,2022,Documenttype1,2022-03-01,3,2022-03-10,2022-03-10,1000074321,2022,,53455,10000743212022
100,CompanyCode1,1000000159,2022,Documenttype1,2022-03-04,3,2022-03-10,2022-03-10,1000074322,2022,,CRN70397196,10000743222022
100,CompanyCode1,1000000160,2022,Documenttype1,2022-03-08,3,2022-03-11,2022-03-11,1000074550,2022,,C073-8591,10000745502022
100,CompanyCode1,1000000161,2022,Documenttype1,2022-03-09,3,2022-03-11,2022-03-11,1000074551,2022,,53473,10000745512022
100,CompanyCode1,1000000162,2022,Documenttype1,2022-03-07,3,2022-03-11,2022-03-11,1000074552,2022,,53462,10000745522022
100,CompanyCode1,1000000163,2022,Documenttype1,2022-03-08,3,2022-03-11,2022-03-11,1000074553,2022,,53468,10000745532022
100,CompanyCode1,1000000164,2022,Documenttype1,2022-02-28,3,2022-03-11,2022-03-11,1000074562,2022,,PRIV00000296,10000745622022
100,CompanyCode1,1000000165,2022,Documenttype1,2022-02-28,3,2022-03-11,2022-03-11,1000074563,2022,,PRIV00000297,10000745632022
